                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0569,                0.68829,                 1.0278,                0.78215,                0.72525,                0.77144,                0.49839,                 1.0411,                0.74031,                 1.0476,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.0441,                0.68961,                 1.0284,                 0.8072,                0.70362,                 0.7819,                 0.5184,                 1.0147,                0.66847,                 1.0237,               0.000948,               0.000948,               0.000948
                     36,                 1.0334,                0.66234,                 1.0119,                0.77202,                0.66742,                0.72808,                0.47337,                 1.0703,                0.73514,                 1.0527,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.0582,                0.67264,                 1.0377,                0.85562,                0.71339,                0.80731,                0.51631,                 1.0504,                0.67898,                 1.0436,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.0314,                0.66724,                 1.0187,                0.85265,                0.69976,                0.76919,                0.50248,                 1.0205,                0.72477,                 1.0182,             0.00090556,             0.00090556,             0.00090556
                     39,                  1.055,                0.64771,                 1.0312,                0.83131,                0.68765,                0.77934,                0.50869,                 1.0611,                0.68008,                   1.04,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.0487,                 0.6709,                 1.0225,                0.80695,                0.69227,                0.75827,                0.48769,                  1.061,                0.70036,                 1.0503,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.0469,                0.67766,                 1.0347,                0.78489,                0.68811,                0.75671,                 0.4909,                 1.0523,                0.69358,                 1.0417,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.0449,                0.67635,                 1.0175,                0.83582,                0.67278,                0.76094,                 0.4885,                  1.042,                0.69859,                 1.0415,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.0486,                0.63753,                 1.0104,                 0.8591,                0.67843,                0.76777,                0.50149,                 1.0362,                0.68866,                 1.0206,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.0423,                0.62817,                 1.0305,                0.82806,                0.67931,                0.77081,                0.51415,                 1.0333,                0.68053,                 1.0335,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.0235,                0.61809,                0.99647,                0.84264,                0.74986,                0.79875,                0.51911,                 1.0152,                0.64557,                   1.03,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.0323,                0.64842,                 1.0157,                 0.7917,                0.72353,                0.78346,                0.51657,                 1.0037,                 0.6444,                   1.02,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.0261,                0.65609,                 1.0099,                0.85085,                 0.7403,                0.81144,                0.52487,                 1.0288,                0.66338,                 1.0416,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.0217,                0.61775,                0.99843,                 0.8675,                0.68928,                0.78768,                0.51407,                 1.0316,                0.64862,                  1.046,             0.00076409,             0.00076409,             0.00076409
                     49,                0.99764,                0.59694,                 0.9927,                0.83773,                 0.7438,                0.80699,                0.52813,                 1.0122,                0.63406,                 1.0296,             0.00074994,             0.00074994,             0.00074994
                     50,                0.99317,                0.59937,                0.98968,                0.86609,                0.71056,                0.79774,                0.50817,                 1.0605,                0.66031,                 1.0363,             0.00073579,             0.00073579,             0.00073579
                     51,                0.99187,                0.60232,                 1.0004,                0.84798,                0.73884,                0.80224,                0.51591,                 1.0485,                0.65615,                  1.047,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.0095,                0.60452,                 1.0012,                0.88693,                0.66938,                0.78182,                 0.5074,                 1.0261,                0.64195,                 1.0255,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.0011,                0.60305,                0.99351,                0.83912,                0.72119,                0.78118,                0.51338,                 1.0035,                0.65366,                 1.0107,             0.00069335,             0.00069335,             0.00069335
                     54,                0.99193,                0.60207,                 0.9885,                0.82833,                0.72601,                0.80129,                0.51657,                 1.0317,                0.64463,                 1.0393,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.0189,                0.60964,                 1.0006,                0.83534,                0.70197,                0.80023,                0.52397,                 1.0132,                0.61432,                 1.0238,             0.00066506,             0.00066506,             0.00066506
                     56,                0.96118,                0.57306,                0.98547,                0.83693,                 0.7451,                0.82046,                0.54446,                 0.9986,                0.60086,                 1.0229,             0.00065091,             0.00065091,             0.00065091
